OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,MonitoringLocationIdentifier,ResultIdentifier,CharacteristicName,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96400203,USGS-03497300,NWIS-62327161,Manganese,Lower Quantitation Limit,10,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800310,USGS-03497300,NWIS-62527311,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800310,USGS-03497300,NWIS-62527312,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800310,USGS-03497300,NWIS-62527316,Gross-Uranium,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800310,USGS-03497300,NWIS-62527317,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800310,USGS-03497300,NWIS-62527318,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423515,Alpha emitting radium isotopes,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423516,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423517,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423520,Gross-Uranium,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423521,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423522,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423523,Beta particle,Historical Lower Reporting Limit,0.4,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800318,USGS-03497300,NWIS-62423524,Beta particle,Historical Lower Reporting Limit,0.4,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96800321,USGS-03497300,NWIS-65265657,Lead,Lower Quantitation Limit,100,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452058,Total suspended solids,Historical Lower Reporting Limit,1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452059,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452060,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452064,Gross-Uranium,Historical Lower Reporting Limit,0.01,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452065,Alpha particle,Historical Lower Reporting Limit,0.4,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.96900605,USGS-03497300,NWIS-64452066,Alpha particle,Historical Lower Reporting Limit,0.1,pCi/L,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.97100224,USGS-03497300,NWIS-62478278,Cadmium,Lower Quantitation Limit,10,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.97100224,USGS-03497300,NWIS-62478279,Chromium(VI),Historical Lower Reporting Limit,1,ug/l as Cr,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.97100224,USGS-03497300,NWIS-62478281,Lead,Historical Lower Reporting Limit,1,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.97100224,USGS-03497300,NWIS-62478282,Mercury,Historical Lower Reporting Limit,0.5,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.97100224,USGS-03497300,NWIS-62478283,Zinc,Historical Lower Reporting Limit,10,ug/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98101099,USGS-03497300,NWIS-63319252,Suspended Sediment Concentration (SSC),Historical Lower Reporting Limit,1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98101101,USGS-03497300,NWIS-63442048,Suspended Sediment Concentration (SSC),Historical Lower Reporting Limit,1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98101104,USGS-03497300,NWIS-45101618,Suspended Sediment Discharge,Historical Lower Reporting Limit,0.35,tons/day,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98101104,USGS-03497300,NWIS-66218208,Suspended Sediment Concentration (SSC),Historical Lower Reporting Limit,1,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102099,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102100,Ammonia and ammonium,Historical Lower Reporting Limit,0.013,mg/l NH4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102101,Nitrate,Historical Lower Reporting Limit,0.443,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102102,Nitrate,Historical Lower Reporting Limit,0.100,mg/l as N,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102103,Nitrite,Historical Lower Reporting Limit,0.033,mg/l asNO3,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102104,Organic Nitrogen,Historical Lower Reporting Limit,0.30,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102105,Orthophosphate,Historical Lower Reporting Limit,0.031,mg/l asPO4,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-45102176,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Historical Lower Reporting Limit,0.40,mg/l,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.98600009,USGS-03497300,NWIS-66411110,Fluoride,Historical Lower Reporting Limit,0.10,mg/l,NWIS
